onset	duration	trial_type
0.0	6.4	dummy
6.51	2.89	cue
9.5	1.9	0_back_posface
12.01	1.9	0_back_posface
14.52	1.9	0_back_posface
17.02	1.9	0_back_posface
19.53	1.9	0_back_posface
22.03	1.9	0_back_posface
24.54	1.9	0_back_posface
27.05	1.9	0_back_posface
29.55	1.9	0_back_posface
32.06	1.9	0_back_posface
34.56	2.89	cue
37.56	1.9	2_back_place
40.07	1.9	2_back_place
42.57	1.9	2_back_place
45.08	1.9	2_back_place
47.59	1.9	2_back_place
50.09	1.9	2_back_place
52.6	1.9	2_back_place
55.1	1.9	2_back_place
57.61	1.9	2_back_place
60.12	1.9	2_back_place
77.62	2.9	cue
80.62	1.9	2_back_posface
83.12	1.9	2_back_posface
85.63	1.9	2_back_posface
88.13	1.9	2_back_posface
90.64	1.9	2_back_posface
93.15	1.9	2_back_posface
95.65	1.9	2_back_posface
98.16	1.9	2_back_posface
100.66	1.9	2_back_posface
103.17	1.9	2_back_posface
105.67	2.89	cue
108.67	1.9	0_back_place
111.18	1.9	0_back_place
113.68	1.9	0_back_place
116.19	1.9	0_back_place
118.7	1.9	0_back_place
121.2	1.9	0_back_place
123.71	1.9	0_back_place
126.21	1.9	0_back_place
128.72	1.9	0_back_place
131.23	1.9	0_back_place
148.73	2.9	cue
151.73	1.9	2_back_neutface
154.23	1.9	2_back_neutface
156.74	1.9	2_back_neutface
159.24	1.9	2_back_neutface
161.75	1.9	2_back_neutface
164.26	1.9	2_back_neutface
166.76	1.9	2_back_neutface
169.27	1.9	2_back_neutface
171.77	1.9	2_back_neutface
174.28	1.9	2_back_neutface
176.78	2.89	cue
179.78	1.9	0_back_negface
182.29	1.9	0_back_negface
184.8	1.9	0_back_negface
187.3	1.9	0_back_negface
189.81	1.9	0_back_negface
192.31	1.9	0_back_negface
194.82	1.9	0_back_negface
197.33	1.9	0_back_negface
199.83	1.9	0_back_negface
202.34	1.9	0_back_negface
219.84	2.9	cue
222.84	1.9	0_back_neutface
225.34	1.9	0_back_neutface
227.85	1.9	0_back_neutface
230.35	1.9	0_back_neutface
232.86	1.9	0_back_neutface
235.37	1.9	0_back_neutface
237.87	1.9	0_back_neutface
240.38	1.9	0_back_neutface
242.88	1.9	0_back_neutface
245.39	1.9	0_back_neutface
247.9	2.89	cue
250.9	1.9	2_back_negface
253.4	1.9	2_back_negface
255.91	1.9	2_back_negface
258.41	1.9	2_back_negface
260.92	1.9	2_back_negface
263.42	1.9	2_back_negface
265.93	1.9	2_back_negface
268.44	1.9	2_back_negface
270.94	1.9	2_back_negface
273.45	1.9	2_back_negface
275.34	6.4	dummy
281.84	2.9	cue
284.84	1.9	2_back_place
287.34	1.9	2_back_place
289.84999999999997	1.9	2_back_place
292.34999999999997	1.9	2_back_place
294.85999999999996	1.9	2_back_place
297.35999999999996	1.9	2_back_place
299.87	1.9	2_back_place
302.38	1.9	2_back_place
304.88	1.9	2_back_place
307.39	1.9	2_back_place
309.89	2.89	cue
312.89	1.9	2_back_negface
315.4	1.9	2_back_negface
317.9	1.9	2_back_negface
320.40999999999997	1.9	2_back_negface
322.91999999999996	1.9	2_back_negface
325.41999999999996	1.9	2_back_negface
327.92999999999995	1.9	2_back_negface
330.42999999999995	1.9	2_back_negface
332.94	1.9	2_back_negface
335.45	1.9	2_back_negface
352.95	2.9	cue
355.95	1.9	0_back_posface
358.45	1.9	0_back_posface
360.96	1.9	0_back_posface
363.46	1.9	0_back_posface
365.96999999999997	1.9	0_back_posface
368.46999999999997	1.9	0_back_posface
370.97999999999996	1.9	0_back_posface
373.49	1.9	0_back_posface
375.99	1.9	0_back_posface
378.5	1.9	0_back_posface
381.01	2.89	cue
384.0	1.9	2_back_neutface
386.51	1.9	2_back_neutface
389.02	1.9	2_back_neutface
391.52	1.9	2_back_neutface
394.03	1.9	2_back_neutface
396.53	1.9	2_back_neutface
399.03999999999996	1.9	2_back_neutface
401.54999999999995	1.9	2_back_neutface
404.04999999999995	1.9	2_back_neutface
406.55999999999995	1.9	2_back_neutface
424.05999999999995	2.9	cue
427.05999999999995	1.9	0_back_negface
429.55999999999995	1.9	0_back_negface
432.06999999999994	1.9	0_back_negface
434.56999999999994	1.9	0_back_negface
437.08	1.9	0_back_negface
439.59	1.9	0_back_negface
442.09	1.9	0_back_negface
444.59999999999997	1.9	0_back_negface
447.09999999999997	1.9	0_back_negface
449.61	1.9	0_back_negface
452.12	2.89	cue
455.11	1.9	0_back_place
457.62	1.9	0_back_place
460.13	1.9	0_back_place
462.63	1.9	0_back_place
465.14	1.9	0_back_place
467.64	1.9	0_back_place
470.15	1.9	0_back_place
472.65	1.9	0_back_place
475.15999999999997	1.9	0_back_place
477.66999999999996	1.9	0_back_place
495.16999999999996	2.9	cue
498.16999999999996	1.9	2_back_posface
500.66999999999996	1.9	2_back_posface
503.17999999999995	1.9	2_back_posface
505.67999999999995	1.9	2_back_posface
508.18999999999994	1.9	2_back_posface
510.7	1.9	2_back_posface
513.2	1.9	2_back_posface
515.7099999999999	1.9	2_back_posface
518.2099999999999	1.9	2_back_posface
520.7199999999999	1.9	2_back_posface
523.2299999999999	2.89	cue
526.2299999999999	1.9	0_back_neutface
528.7299999999999	1.9	0_back_neutface
531.24	1.9	0_back_neutface
533.7399999999999	1.9	0_back_neutface
536.25	1.9	0_back_neutface
538.75	1.9	0_back_neutface
541.26	1.9	0_back_neutface
543.77	1.9	0_back_neutface
546.27	1.9	0_back_neutface
548.78	1.9	0_back_neutface
